description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Weapon Socket	1			100					2	weap,nos	lzh						useitem				sock			1	1																																																																															0
Amulet Socket	1			100					2	amul,nos	lzh						useitem				sock			1	1																																																																															0
Ring Socket	1			100					2	ring,nos	lzh						useitem				sock			1	1																																																																															0
3 magic jewels -> 1 rare jewel	1			100					3	jew,mag,qty=3							jew,rar		100																																																																																					0
3 rare jewels -> 1 unique jewel	1			100					3	jew,rar,qty=3							jew,uni		100																																																																																					0
2 unique jewels -> 1 unique jewel	1			100					2	jew,uni,qty=2							jew,uni		100																																																																																					0
Set Abyssal to Rare 1	1			100	18	368	1		2	!01	$rn						xh9,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 2	1			100	18	368	1		2	!02	$rn						ucl,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 3	1			100	18	368	1		2	!03	$rn						xmb,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 4	1			100	18	368	1		2	!04	$rn						dr8,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 5	1			100	18	368	1		2	!05	$rn						uul,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 6	1			100	18	368	1		2	!06	$rn						xtb,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 7	1			100	18	368	1		2	!07	$rn						ba5,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 8	1			100	18	368	1		2	!08	$rn						uar,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 9	1			100	18	368	1		2	!09	$rn						zhb,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 10	1			100	18	368	1		2	!10	$rn						xhg,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 11	1			100	18	368	1		2	!11	$rn						xhb,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 12	1			100	18	368	1		2	!12	$rn						zmb,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 13	1			100	18	368	1		2	!13	$rn						uth,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 14	1			100	18	368	1		2	!14	$rn						xsk,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 15	1			100	18	368	1		2	!15	$rn						urn,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 16	1			100	18	368	1		2	!16	$rn						xar,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 17	1			100	18	368	1		2	!17	$rn						paf,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 18	1			100	18	368	1		2	!18	$rn						uh9,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 19	1			100	18	368	1		2	!19	$rn						xul,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 20	1			100	18	368	1		2	!20	$rn						ne9,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 21	1			100	18	368	1		2	!21	$rn						xmg,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 22	1			100	18	368	1		2	!22	$rn						utc,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 23	1			100	18	368	1		2	!23	$rn						ci3,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 24	1			100	18	368	1		2	!24	$rn						uld,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 25	1			100	18	368	1		2	!25	$rn						xtg,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 26	1			100	18	368	1		2	!26	$rn						zvb,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 27	1			100	18	368	1		2	@01	$rn						7qr,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 28	1			100	18	368	1		2	@02	$rn						9mt,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 29	1			100	18	368	1		2	@03	$rn						7m7,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 30	1			100	18	368	1		2	@04	$rn						oba,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 31	1			100	18	368	1		2	@05	$rn						7ws,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 32	1			100	18	368	1		2	@06	$rn						amc,rar				abyssal-display			-1	-1																																																																															0
Set Abyssal to Rare 33	1			100	18	368	1		2	$01	$rn						amu,rar				abyssal-display			-1	-1																																																																															0
Weapon Terrorized 1	1			100	18	368	1		2	abyw	$rn						usetype,eli,rar				abyssal-display			-1	-1																																																																															0
Weapon Terrorized 2	1			100	18	368	2		2	weap	$rn						useitem				abyssal-display			-3	-3	dmg%			100	100																																																																										0
Weapon Terrorized 3	1			100	18	368	3		2	weap	$rn						useitem				abyssal-display			-4	-4	swing3			50	50																																																																										0
Weapon Terrorized 4	1			100	18	368	4		2	weap	$rn						useitem				abyssal-display			-5	-5	slow			30	30																																																																										0
Weapon Terrorized 5	1			100	18	368	5		2	weap	$rn						useitem				abyssal-display			-6	-6	cast3			50	50																																																																										0
Weapon Terrorized 6	1			100	18	368	6		2	weap	$rn						useitem				abyssal-display			-7	-7	dmg			100	100																																																																										0
Weapon Terrorized 7	1			100	18	368	7		2	weap	$rn						useitem				abyssal-display			-8	-8	deadly			50	50																																																																										0
Weapon Terrorized 8	1			100	18	368	8		2	weap	$rn						useitem				abyssal-display			-9	-9	reduce-ac			100	100																																																																										0
Weapon Terrorized 9	1			100	18	368	9		2	weap	$rn						useitem				abyssal-display			-10	-10	crush			50	50																																																																										0
Weapon Terrorized 10	1			100	18	368	10		2	weap	$rn						useitem				abyssal-display			-11	-11	allskills			3	3																																																																										0
Amulet Terrorized 1	1			100	18	368	1		2	amul	$rn						amu,rar				abyssal-display			-1	-1																																																																															0
Amulet Terrorized 1	1			100	18	368	2		2	amul	$rn						useitem				abyssal-display			-3	-3	res-all			5	5																																																																										0
Amulet Terrorized 1	1			100	18	368	3		2	amul	$rn						useitem				abyssal-display			-4	-4	dmg			50	50																																																																										0
Amulet Terrorized 1	1			100	18	368	4		2	amul	$rn						useitem				abyssal-display			-5	-5	gold%			100	100																																																																										0
Amulet Terrorized 1	1			100	18	368	5		2	amul	$rn						useitem				abyssal-display			-6	-6	hp			50	50	mana			50	50																																																																					0
Amulet Terrorized 1	1			100	18	368	6		2	amul	$rn						useitem				abyssal-display			-7	-7	cast3			10	10																																																																										0
Amulet Terrorized 1	1			100	18	368	7		2	amul	$rn						useitem				abyssal-display			-8	-8	mag%			50	50																																																																										0
Amulet Terrorized 1	1			100	18	368	8		2	amul	$rn						useitem				abyssal-display			-9	-9	all-stats			10	10																																																																										0
Amulet Terrorized 1	1			100	18	368	9		2	amul	$rn						useitem				abyssal-display			-10	-10	nofreeze			1	1																																																																										0
Amulet Terrorized 1	1			100	18	368	10		2	amul	$rn						useitem				abyssal-display			-11	-11	allskills			2	2																																																																										0
Ring Terrorized 1	1			100	18	368	1		2	ring	$rn						rin,rar				abyssal-display			-1	-1																																																																															0
Ring Terrorized 1	1			100	18	368	2		2	ring	$rn						useitem				abyssal-display			-3	-3	res-all			5	5																																																																										0
Ring Terrorized 1	1			100	18	368	3		2	ring	$rn						useitem				abyssal-display			-4	-4	dmg			50	50																																																																										0
Ring Terrorized 1	1			100	18	368	4		2	ring	$rn						useitem				abyssal-display			-5	-5	gold%			100	100																																																																										0
Ring Terrorized 1	1			100	18	368	5		2	ring	$rn						useitem				abyssal-display			-6	-6	hp			50	50	mana			50	50																																																																					0
Ring Terrorized 1	1			100	18	368	6		2	ring	$rn						useitem				abyssal-display			-7	-7	cast3			10	10																																																																										0
Ring Terrorized 1	1			100	18	368	7		2	ring	$rn						useitem				abyssal-display			-8	-8	mag%			50	50																																																																										0
Ring Terrorized 1	1			100	18	368	8		2	ring	$rn						useitem				abyssal-display			-9	-9	all-stats			10	10																																																																										0
Ring Terrorized 1	1			100	18	368	9		2	ring	$rn						useitem				abyssal-display			-10	-10	nofreeze			1	1																																																																										0
Ring Terrorized 1	1			100	18	368	10		2	ring	$rn						useitem				abyssal-display			-11	-11	allskills			1	1																																																																										0
Helm Terrorized 1	1			100	18	368	1		2	helm	$rn						usetype,eli,rar				abyssal-display			-1	-1																																																																															0
Helm Terrorized 2	1			100	18	368	2		2	helm	$rn						useitem				abyssal-display			-3	-3	ac%			100	100																																																																										0
Helm Terrorized 3	1			100	18	368	3		2	helm	$rn						useitem				abyssal-display			-4	-4	move3			40	40																																																																										0
Helm Terrorized 4	1			100	18	368	4		2	helm	$rn						useitem				abyssal-display			-5	-5	gold%			100	100																																																																										0
Helm Terrorized 5	1			100	18	368	5		2	helm	$rn						useitem				abyssal-display			-6	-6	balance3			40	40																																																																										0
Helm Terrorized 6	1			100	18	368	6		2	helm	$rn						useitem				abyssal-display			-7	-7	red-dmg%			10	10																																																																										0
Helm Terrorized 7	1			100	18	368	7		2	helm	$rn						useitem				abyssal-display			-8	-8	res-all			20	20																																																																										0
Helm Terrorized 8	1			100	18	368	8		2	helm	$rn						useitem				abyssal-display			-9	-9	red-dmg			20	20	red-mag			20	20																																																																					0
Helm Terrorized 9	1			100	18	368	9		2	helm	$rn						useitem				abyssal-display			-10	-10	nofreeze			1	1																																																																										0
Helm Terrorized 10	1			100	18	368	10		2	helm	$rn						useitem				abyssal-display			-11	-11	allskills			2	2																																																																										0
Abyssal Glove Socket	1			100	17	368	0		2	glov,nos	lzh						useitem				sock			1	1																																																																															0
Abyssal Belt Socket	1			100	17	368	0		2	belt,nos	lzh						useitem				sock			1	1																																																																															0
Abyssal Boot Socket	1			100	17	368	0		2	boot,nos	lzh						useitem				sock			1	1																																																																															0
Torso Terrorized 1	1			100	18	368	1		2	tors	$rn						usetype,eli,rar				abyssal-display			-1	-1																																																																															0
Torso Terrorized 2	1			100	18	368	2		2	tors	$rn						useitem				abyssal-display			-3	-3	ac%			100	100																																																																										0
Torso Terrorized 3	1			100	18	368	3		2	tors	$rn						useitem				abyssal-display			-4	-4	move3			40	40																																																																										0
Torso Terrorized 4	1			100	18	368	4		2	tors	$rn						useitem				abyssal-display			-5	-5	gold%			100	100																																																																										0
Torso Terrorized 5	1			100	18	368	5		2	tors	$rn						useitem				abyssal-display			-6	-6	balance3			40	40																																																																										0
Torso Terrorized 6	1			100	18	368	6		2	tors	$rn						useitem				abyssal-display			-7	-7	red-dmg%			10	10																																																																										0
Torso Terrorized 7	1			100	18	368	7		2	tors	$rn						useitem				abyssal-display			-8	-8	res-all			20	20																																																																										0
Torso Terrorized 8	1			100	18	368	8		2	tors	$rn						useitem				abyssal-display			-9	-9	red-dmg			20	20	red-mag			20	20																																																																					0
Torso Terrorized 9	1			100	18	368	9		2	tors	$rn						useitem				abyssal-display			-10	-10	nofreeze			1	1																																																																										0
Torso Terrorized 10	1			100	18	368	10		2	tors	$rn						useitem				abyssal-display			-11	-11	allskills			2	2																																																																										0
Shield Terrorized 1	1			100	18	368	1		2	shld	$rn						usetype,eli,rar				abyssal-display			-1	-1																																																																															0
Shield Terrorized 2	1			100	18	368	2		2	shld	$rn						useitem				abyssal-display			-3	-3	ac%			100	100																																																																										0
Shield Terrorized 3	1			100	18	368	3		2	shld	$rn						useitem				abyssal-display			-4	-4	move3			40	40																																																																										0
Shield Terrorized 4	1			100	18	368	4		2	shld	$rn						useitem				abyssal-display			-5	-5	gold%			100	100																																																																										0
Shield Terrorized 5	1			100	18	368	5		2	shld	$rn						useitem				abyssal-display			-6	-6	balance3			40	40																																																																										0
Shield Terrorized 6	1			100	18	368	6		2	shld	$rn						useitem				abyssal-display			-7	-7	red-dmg%			10	10																																																																										0
Shield Terrorized 7	1			100	18	368	7		2	shld	$rn						useitem				abyssal-display			-8	-8	res-all			20	20																																																																										0
Shield Terrorized 8	1			100	18	368	8		2	shld	$rn						useitem				abyssal-display			-9	-9	red-dmg			20	20	red-mag			20	20																																																																					0
Shield Terrorized 9	1			100	18	368	9		2	shld	$rn						useitem				abyssal-display			-10	-10	nofreeze			1	1																																																																										0
Shield Terrorized 10	1			100	18	368	10		2	shld	$rn						useitem				abyssal-display			-11	-11	allskills			2	2																																																																										0
Gloves Terrorized 1	1			100	18	368	1		2	glov	$rn						usetype,eli,rar				abyssal-display			-1	-1																																																																															0
Gloves Terrorized 2	1			100	18	368	2		2	glov	$rn						useitem				abyssal-display			-3	-3	ac%			100	100																																																																										0
Gloves Terrorized 3	1			100	18	368	3		2	glov	$rn						useitem				abyssal-display			-4	-4	move3			40	40																																																																										0
Gloves Terrorized 4	1			100	18	368	4		2	glov	$rn						useitem				abyssal-display			-5	-5	gold%			100	100																																																																										0
Gloves Terrorized 5	1			100	18	368	5		2	glov	$rn						useitem				abyssal-display			-6	-6	balance3			40	40																																																																										0
Gloves Terrorized 6	1			100	18	368	6		2	glov	$rn						useitem				abyssal-display			-7	-7	red-dmg%			10	10																																																																										0
Gloves Terrorized 7	1			100	18	368	7		2	glov	$rn						useitem				abyssal-display			-8	-8	res-all			20	20																																																																										0
Gloves Terrorized 8	1			100	18	368	8		2	glov	$rn						useitem				abyssal-display			-9	-9	red-dmg			20	20	red-mag			20	20																																																																					0
Gloves Terrorized 9	1			100	18	368	9		2	glov	$rn						useitem				abyssal-display			-10	-10	nofreeze			1	1																																																																										0
Gloves Terrorized 10	1			100	18	368	10		2	glov	$rn						useitem				abyssal-display			-11	-11	allskills			2	2																																																																										0
Belt Terrorized 1	1			100	18	368	1		2	belt	$rn						usetype,eli,rar				abyssal-display			-1	-1																																																																															0
Belt Terrorized 2	1			100	18	368	2		2	belt	$rn						useitem				abyssal-display			-3	-3	ac%			100	100																																																																										0
Belt Terrorized 3	1			100	18	368	3		2	belt	$rn						useitem				abyssal-display			-4	-4	move3			40	40																																																																										0
Belt Terrorized 4	1			100	18	368	4		2	belt	$rn						useitem				abyssal-display			-5	-5	gold%			100	100																																																																										0
Belt Terrorized 5	1			100	18	368	5		2	belt	$rn						useitem				abyssal-display			-6	-6	balance3			40	40																																																																										0
Belt Terrorized 6	1			100	18	368	6		2	belt	$rn						useitem				abyssal-display			-7	-7	red-dmg%			10	10																																																																										0
Belt Terrorized 7	1			100	18	368	7		2	belt	$rn						useitem				abyssal-display			-8	-8	res-all			20	20																																																																										0
Belt Terrorized 8	1			100	18	368	8		2	belt	$rn						useitem				abyssal-display			-9	-9	red-dmg			20	20	red-mag			20	20																																																																					0
Belt Terrorized 9	1			100	18	368	9		2	belt	$rn						useitem				abyssal-display			-10	-10	nofreeze			1	1																																																																										0
Belt Terrorized 10	1			100	18	368	10		2	belt	$rn						useitem				abyssal-display			-11	-11	allskills			2	2																																																																										0
Boot Terrorized 1	1			100	18	368	1		2	boot	$rn						usetype,eli,rar				abyssal-display			-1	-1																																																																															0
Boot Terrorized 2	1			100	18	368	2		2	boot	$rn						useitem				abyssal-display			-3	-3	ac%			100	100																																																																										0
Boot Terrorized 3	1			100	18	368	3		2	boot	$rn						useitem				abyssal-display			-4	-4	move3			40	40																																																																										0
Boot Terrorized 4	1			100	18	368	4		2	boot	$rn						useitem				abyssal-display			-5	-5	gold%			100	100																																																																										0
Boot Terrorized 5	1			100	18	368	5		2	boot	$rn						useitem				abyssal-display			-6	-6	balance3			40	40																																																																										0
Boot Terrorized 6	1			100	18	368	6		2	boot	$rn						useitem				abyssal-display			-7	-7	red-dmg%			10	10																																																																										0
Boot Terrorized 7	1			100	18	368	7		2	boot	$rn						useitem				abyssal-display			-8	-8	res-all			20	20																																																																										0
Boot Terrorized 8	1			100	18	368	8		2	boot	$rn						useitem				abyssal-display			-9	-9	red-dmg			20	20	red-mag			20	20																																																																					0
Boot Terrorized 9	1			100	18	368	9		2	boot	$rn						useitem				abyssal-display			-10	-10	nofreeze			1	1																																																																										0
Boot Terrorized 10	1			100	18	368	10		2	boot	$rn						useitem				abyssal-display			-11	-11	allskills			2	2																																																																										0
Countess Holder Create	1			100					2	pk1	key						Pk1																																																																																							0
Countess Holder Withdraw	1			100	17	369	0		1	Pk1							useitem				keyholder-quant			-1	-1																					pk1																																																										0
Countess Holder Deposit 1	1			100					2	Pk1	pk1						useitem				keyholder-quant			1	1																																																																															0
Countess Holder Deposit 2	1			100					3	Pk1	pk1,qty=2						useitem				keyholder-quant			2	2																																																																															0
Countess Holder Deposit 3	1			100					4	Pk1	pk1,qty=3						useitem				keyholder-quant			3	3																																																																															0
Countess Holder Deposit 4	1			100					5	Pk1	pk1,qty=4						useitem				keyholder-quant			4	4																																																																															0
Countess Holder Deposit 5	1			100					6	Pk1	pk1,qty=5						useitem				keyholder-quant			5	5																																																																															0
Summoner Holder Create	1			100					2	pk2	key						Pk2																																																																																							0
Summoner Holder Withdraw	1			100	17	369	0		1	Pk2							useitem				keyholder-quant			-1	-1																					pk2																																																										0
Summoner Holder Deposit 1	1			100					2	Pk2	pk2						useitem				keyholder-quant			1	1																																																																															0
Summoner Holder Deposit 2	1			100					3	Pk2	pk2,qty=2						useitem				keyholder-quant			2	2																																																																															0
Summoner Holder Deposit 3	1			100					4	Pk2	pk2,qty=3						useitem				keyholder-quant			3	3																																																																															0
Summoner Holder Deposit 4	1			100					5	Pk2	pk2,qty=4						useitem				keyholder-quant			4	4																																																																															0
Summoner Holder Deposit 5	1			100					6	Pk2	pk2,qty=5						useitem				keyholder-quant			5	5																																																																															0
Nihlathak Holder Create	1			100					2	pk3	key						Pk3																																																																																							0
Nihlathak Holder Withdraw	1			100	17	369	0		1	Pk3							useitem				keyholder-quant			-1	-1																					pk3																																																										0
Nihlathak Holder Deposit 1	1			100					2	Pk3	pk3						useitem				keyholder-quant			1	1																																																																															0
Nihlathak Holder Deposit 2	1			100					3	Pk3	pk3,qty=2						useitem				keyholder-quant			2	2																																																																															0
Nihlathak Holder Deposit 3	1			100					4	Pk3	pk3,qty=3						useitem				keyholder-quant			3	3																																																																															0
Nihlathak Holder Deposit 4	1			100					5	Pk3	pk3,qty=4						useitem				keyholder-quant			4	4																																																																															0
Nihlathak Holder Deposit 5	1			100					6	Pk3	pk3,qty=5						useitem				keyholder-quant			5	5																																																																															0
Twisted Holder Create	1			100					2	tes	key						Tes																																																																																							0
Twisted Holder Withdraw	1			100	17	369	0		1	Tes							useitem				keyholder-quant			-1	-1																					tes																																																										0
Twisted Holder Deposit 1	1			100					2	Tes	tes						useitem				keyholder-quant			1	1																																																																															0
Twisted Holder Deposit 2	1			100					3	Tes	tes,qty=2						useitem				keyholder-quant			2	2																																																																															0
Twisted Holder Deposit 3	1			100					4	Tes	tes,qty=3						useitem				keyholder-quant			3	3																																																																															0
Twisted Holder Deposit 4	1			100					5	Tes	tes,qty=4						useitem				keyholder-quant			4	4																																																																															0
Twisted Holder Deposit 5	1			100					6	Tes	tes,qty=5						useitem				keyholder-quant			5	5																																																																															0
Twisted Holder Deposit 6	1			100					7	Tes	tes,qty=6						useitem				keyholder-quant			6	6																																																																															0
Twisted Holder Deposit 7	1			100					8	Tes	tes,qty=7						useitem				keyholder-quant			7	7																																																																															0
Twisted Holder Deposit 8	1			100					9	Tes	tes,qty=8						useitem				keyholder-quant			8	8																																																																															0
Twisted Holder Deposit 9	1			100					10	Tes	tes,qty=9						useitem				keyholder-quant			9	9																																																																															0
Twisted Holder Deposit 10	1			100					11	Tes	tes,qty=10						useitem				keyholder-quant			10	10																																																																															0
Twisted Holder Deposit 11	1			100					12	Tes	tes,qty=11						useitem				keyholder-quant			11	11																																																																															0
Charged Holder Create	1			100					2	ceh	key						Ceh																																																																																							0
Charged Holder Withdraw	1			100	17	369	0		1	Ceh							useitem				keyholder-quant			-1	-1																					ceh																																																										0
Charged Holder Deposit 1	1			100					2	Ceh	ceh						useitem				keyholder-quant			1	1																																																																															0
Charged Holder Deposit 2	1			100					3	Ceh	ceh,qty=2						useitem				keyholder-quant			2	2																																																																															0
Charged Holder Deposit 3	1			100					4	Ceh	ceh,qty=3						useitem				keyholder-quant			3	3																																																																															0
Charged Holder Deposit 4	1			100					5	Ceh	ceh,qty=4						useitem				keyholder-quant			4	4																																																																															0
Charged Holder Deposit 5	1			100					6	Ceh	ceh,qty=5						useitem				keyholder-quant			5	5																																																																															0
Charged Holder Deposit 6	1			100					7	Ceh	ceh,qty=6						useitem				keyholder-quant			6	6																																																																															0
Charged Holder Deposit 7	1			100					8	Ceh	ceh,qty=7						useitem				keyholder-quant			7	7																																																																															0
Charged Holder Deposit 8	1			100					9	Ceh	ceh,qty=8						useitem				keyholder-quant			8	8																																																																															0
Charged Holder Deposit 9	1			100					10	Ceh	ceh,qty=9						useitem				keyholder-quant			9	9																																																																															0
Charged Holder Deposit 10	1			100					11	Ceh	ceh,qty=10						useitem				keyholder-quant			10	10																																																																															0
Charged Holder Deposit 11	1			100					12	Ceh	ceh,qty=11						useitem				keyholder-quant			11	11																																																																															0
Burning Holder Create	1			100					2	bet	key						Bet																																																																																							0
Burning Holder Withdraw	1			100	17	369	0		1	Bet							useitem				keyholder-quant			-1	-1																					bet																																																										0
Burning Holder Deposit 1	1			100					2	Bet	bet						useitem				keyholder-quant			1	1																																																																															0
Burning Holder Deposit 2	1			100					3	Bet	bet,qty=2						useitem				keyholder-quant			2	2																																																																															0
Burning Holder Deposit 3	1			100					4	Bet	bet,qty=3						useitem				keyholder-quant			3	3																																																																															0
Burning Holder Deposit 4	1			100					5	Bet	bet,qty=4						useitem				keyholder-quant			4	4																																																																															0
Burning Holder Deposit 5	1			100					6	Bet	bet,qty=5						useitem				keyholder-quant			5	5																																																																															0
Burning Holder Deposit 6	1			100					7	Bet	bet,qty=6						useitem				keyholder-quant			6	6																																																																															0
Burning Holder Deposit 7	1			100					8	Bet	bet,qty=7						useitem				keyholder-quant			7	7																																																																															0
Burning Holder Deposit 8	1			100					9	Bet	bet,qty=8						useitem				keyholder-quant			8	8																																																																															0
Burning Holder Deposit 9	1			100					10	Bet	bet,qty=9						useitem				keyholder-quant			9	9																																																																															0
Burning Holder Deposit 10	1			100					11	Bet	bet,qty=10						useitem				keyholder-quant			10	10																																																																															0
Burning Holder Deposit 11	1			100					12	Bet	bet,qty=11						useitem				keyholder-quant			11	11																																																																															0
Festering Holder Create	1			100					2	fed	key						Fed																																																																																							0
Festering Holder Withdraw	1			100	17	369	0		1	Fed							useitem				keyholder-quant			-1	-1																					fed																																																										0
Festering Holder Deposit 1	1			100					2	Fed	fed						useitem				keyholder-quant			1	1																																																																															0
Festering Holder Deposit 2	1			100					3	Fed	fed,qty=2						useitem				keyholder-quant			2	2																																																																															0
Festering Holder Deposit 3	1			100					4	Fed	fed,qty=3						useitem				keyholder-quant			3	3																																																																															0
Festering Holder Deposit 4	1			100					5	Fed	fed,qty=4						useitem				keyholder-quant			4	4																																																																															0
Festering Holder Deposit 5	1			100					6	Fed	fed,qty=5						useitem				keyholder-quant			5	5																																																																															0
Festering Holder Deposit 6	1			100					7	Fed	fed,qty=6						useitem				keyholder-quant			6	6																																																																															0
Festering Holder Deposit 7	1			100					8	Fed	fed,qty=7						useitem				keyholder-quant			7	7																																																																															0
Festering Holder Deposit 8	1			100					9	Fed	fed,qty=8						useitem				keyholder-quant			8	8																																																																															0
Festering Holder Deposit 9	1			100					10	Fed	fed,qty=9						useitem				keyholder-quant			9	9																																																																															0
Festering Holder Deposit 10	1			100					11	Fed	fed,qty=10						useitem				keyholder-quant			10	10																																																																															0
Festering Holder Deposit 11	1			100					12	Fed	fed,qty=11						useitem				keyholder-quant			11	11																																																																															0
Larzuk Holder Create	1			100					2	lzh	key						Lzh																																																																																							0
Larzuk Holder Withdraw	1			100	17	369	0		1	Lzh							useitem				keyholder-quant			-1	-1																					lzh																																																										0
Larzuk Holder Deposit 1	1			100					2	Lzh	lzh						useitem				keyholder-quant			1	1																																																																															0
Larzuk Holder Deposit 2	1			100					3	Lzh	lzh,qty=2						useitem				keyholder-quant			2	2																																																																															0
Larzuk Holder Deposit 3	1			100					4	Lzh	lzh,qty=3						useitem				keyholder-quant			3	3																																																																															0
Larzuk Holder Deposit 4	1			100					5	Lzh	lzh,qty=4						useitem				keyholder-quant			4	4																																																																															0
Larzuk Holder Deposit 5	1			100					6	Lzh	lzh,qty=5						useitem				keyholder-quant			5	5																																																																															0
El Holder Create	1			100					2	r01	key						R01																																																																																							0
El Holder Withdraw	1			100	17	369	0		1	R01							useitem				keyholder-quant			-1	-1																					r01																																																										0
El Holder Deposit 1	1			100					2	R01	r01						useitem				keyholder-quant			1	1																																																																															0
El Holder Deposit 2	1			100					3	R01	r01,qty=2						useitem				keyholder-quant			2	2																																																																															0
El Holder Deposit 3	1			100					4	R01	r01,qty=3						useitem				keyholder-quant			3	3																																																																															0
El Holder Deposit 4	1			100					5	R01	r01,qty=4						useitem				keyholder-quant			4	4																																																																															0
El Holder Deposit 5	1			100					6	R01	r01,qty=5						useitem				keyholder-quant			5	5																																																																															0
El Holder Deposit 6	1			100					7	R01	r01,qty=6						useitem				keyholder-quant			6	6																																																																															0
El Holder Deposit 7	1			100					8	R01	r01,qty=7						useitem				keyholder-quant			7	7																																																																															0
El Holder Deposit 8	1			100					9	R01	r01,qty=8						useitem				keyholder-quant			8	8																																																																															0
El Holder Deposit 9	1			100					10	R01	r01,qty=9						useitem				keyholder-quant			9	9																																																																															0
El Holder Deposit 10	1			100					11	R01	r01,qty=10						useitem				keyholder-quant			10	10																																																																															0
El Holder Deposit 11	1			100					12	R01	r01,qty=11						useitem				keyholder-quant			11	11																																																																															0
Eld Holder Create	1			100					2	r02	key						R02																																																																																							0
Eld Holder Withdraw	1			100	17	369	0		1	R02							useitem				keyholder-quant			-1	-1																					r02																																																										0
Eld Holder Deposit 1	1			100					2	R02	r02						useitem				keyholder-quant			1	1																																																																															0
Eld Holder Deposit 2	1			100					3	R02	r02,qty=2						useitem				keyholder-quant			2	2																																																																															0
Eld Holder Deposit 3	1			100					4	R02	r02,qty=3						useitem				keyholder-quant			3	3																																																																															0
Eld Holder Deposit 4	1			100					5	R02	r02,qty=4						useitem				keyholder-quant			4	4																																																																															0
Eld Holder Deposit 5	1			100					6	R02	r02,qty=5						useitem				keyholder-quant			5	5																																																																															0
Eld Holder Deposit 6	1			100					7	R02	r02,qty=6						useitem				keyholder-quant			6	6																																																																															0
Eld Holder Deposit 7	1			100					8	R02	r02,qty=7						useitem				keyholder-quant			7	7																																																																															0
Eld Holder Deposit 8	1			100					9	R02	r02,qty=8						useitem				keyholder-quant			8	8																																																																															0
Eld Holder Deposit 9	1			100					10	R02	r02,qty=9						useitem				keyholder-quant			9	9																																																																															0
